level,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Reading,Sight Words,Easy,What does the word 'home' mean?,The place where you live,store,park,school,A,'home' means: The place where you live.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'A small furry animal that meows'?,dog,bird,fish,cat,D,The word that means 'A small furry animal that meows' is 'cat'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very sun in class,' what does 'sun' most likely mean?",The star that gives us light and heat,moon,cloud,rain,A,'sun' means The star that gives us light and heat.
1,Reading,Sight Words,Easy,What does the word 'run' mean?,sleep,walk,eat,To move quickly on foot,D,'run' means: To move quickly on foot.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'Large in size'?,big,tiny,small,short,A,The word that means 'Large in size' is 'big'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very happy in class,' what does 'happy' most likely mean?",Feeling glad or pleased,sad,angry,tired,A,'happy' means Feeling glad or pleased.
1,Reading,Sight Words,Easy,What does the word 'red' mean?,A bright color like a fire truck,yellow,blue,green,A,'red' means: A bright color like a fire truck.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'Having a high temperature'?,cool,warm,cold,hot,D,The word that means 'Having a high temperature' is 'hot'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very jump in class,' what does 'jump' most likely mean?",To spring off the ground,sit,lie,stand,A,'jump' means To spring off the ground.
1,Reading,Sight Words,Easy,What does the word 'book' mean?,Something you read with pages,cup,pen,bag,A,'book' means: Something you read with pages.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'The place where you live'?,school,park,home,store,C,The word that means 'The place where you live' is 'home'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very cat in class,' what does 'cat' most likely mean?",A small furry animal that meows,dog,bird,fish,A,'cat' means A small furry animal that meows.
1,Reading,Sight Words,Easy,What does the word 'sun' mean?,rain,The star that gives us light and heat,moon,cloud,B,'sun' means: The star that gives us light and heat.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'To move quickly on foot'?,run,sleep,eat,walk,A,The word that means 'To move quickly on foot' is 'run'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very big in class,' what does 'big' most likely mean?",Large in size,small,tiny,short,A,'big' means Large in size.
1,Reading,Sight Words,Easy,What does the word 'happy' mean?,sad,angry,Feeling glad or pleased,tired,C,'happy' means: Feeling glad or pleased.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'A bright color like a fire truck'?,blue,yellow,green,red,D,The word that means 'A bright color like a fire truck' is 'red'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very hot in class,' what does 'hot' most likely mean?",Having a high temperature,cold,warm,cool,A,'hot' means Having a high temperature.
1,Reading,Sight Words,Easy,What does the word 'jump' mean?,sit,stand,lie,To spring off the ground,D,'jump' means: To spring off the ground.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'Something you read with pages'?,pen,bag,cup,book,D,The word that means 'Something you read with pages' is 'book'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very home in class,' what does 'home' most likely mean?",The place where you live,school,park,store,A,'home' means The place where you live.
1,Reading,Sight Words,Easy,What does the word 'cat' mean?,dog,A small furry animal that meows,bird,fish,B,'cat' means: A small furry animal that meows.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'The star that gives us light and heat'?,rain,cloud,moon,sun,D,The word that means 'The star that gives us light and heat' is 'sun'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very run in class,' what does 'run' most likely mean?",To move quickly on foot,walk,sleep,eat,A,'run' means To move quickly on foot.
1,Reading,Sight Words,Easy,What does the word 'big' mean?,short,small,Large in size,tiny,C,'big' means: Large in size.
1,Reading,Story Comprehension,Easy,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Green,Red,Brown,Blue,B,Correct answer: Red.
1,Reading,Story Comprehension,Medium,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Rose,Anna,Daisy,Lily,D,Correct answer: Lily.
1,Reading,Story Comprehension,Hard,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",Tom,Sarah,John,Mary,B,Correct answer: Sarah.
1,Reading,Story Comprehension,Easy,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",In her bag,In a blue vase,On the floor,In a red pot,B,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Medium,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Green,Brown,Blue,Red,D,Correct answer: Red.
1,Reading,Story Comprehension,Hard,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Rose,Daisy,Lily,Anna,C,Correct answer: Lily.
1,Reading,Story Comprehension,Easy,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",Tom,Mary,John,Sarah,D,Correct answer: Sarah.
1,Reading,Story Comprehension,Medium,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",In a red pot,On the floor,In her bag,In a blue vase,D,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Hard,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Blue,Red,Green,Brown,B,Correct answer: Red.
1,Reading,Story Comprehension,Easy,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Rose,Anna,Lily,Daisy,C,Correct answer: Lily.
1,Reading,Story Comprehension,Medium,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",Sarah,Tom,John,Mary,A,Correct answer: Sarah.
1,Reading,Story Comprehension,Hard,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",On the floor,In a blue vase,In a red pot,In her bag,B,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Easy,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Blue,Green,Red,Brown,C,Correct answer: Red.
1,Reading,Story Comprehension,Medium,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Anna,Daisy,Lily,Rose,C,Correct answer: Lily.
1,Reading,Story Comprehension,Hard,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",Mary,John,Sarah,Tom,C,Correct answer: Sarah.
1,Reading,Story Comprehension,Easy,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",In a blue vase,In her bag,In a red pot,On the floor,A,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Medium,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Red,Blue,Green,Brown,A,Correct answer: Red.
1,Reading,Story Comprehension,Hard,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Rose,Daisy,Lily,Anna,C,Correct answer: Lily.
1,Reading,Story Comprehension,Easy,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",John,Tom,Mary,Sarah,D,Correct answer: Sarah.
1,Reading,Story Comprehension,Medium,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",In a red pot,In her bag,In a blue vase,On the floor,C,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Hard,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Green,Blue,Red,Brown,C,Correct answer: Red.
1,Reading,Story Comprehension,Easy,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Lily,Anna,Rose,Daisy,A,Correct answer: Lily.
1,Reading,Story Comprehension,Medium,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",John,Mary,Sarah,Tom,C,Correct answer: Sarah.
1,Reading,Story Comprehension,Hard,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",In a red pot,In a blue vase,In her bag,On the floor,B,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Easy,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Green,Brown,Red,Blue,C,Correct answer: Red.
1,Reading,Story Comprehension,Medium,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Rose,Daisy,Anna,Lily,D,Correct answer: Lily.
1,Reading,Story Comprehension,Hard,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",Sarah,Tom,John,Mary,A,Correct answer: Sarah.
1,Reading,Story Comprehension,Easy,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",On the floor,In a red pot,In a blue vase,In her bag,C,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Medium,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Blue,Red,Brown,Green,B,Correct answer: Red.
1,Reading,Story Comprehension,Hard,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: What was the girl's name?",Rose,Daisy,Anna,Lily,D,Correct answer: Lily.
1,Reading,Story Comprehension,Easy,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: Who is the dog's owner?",Sarah,John,Mary,Tom,A,Correct answer: Sarah.
1,Reading,Story Comprehension,Medium,"Passage: ""The sun was bright and warm. Birds sang in the trees. A little girl named Lily picked flowers in the garden. She put them in a blue vase on the table...."" 

Question: Where did she put the flowers?",On the floor,In a red pot,In a blue vase,In her bag,C,Correct answer: In a blue vase.
1,Reading,Story Comprehension,Hard,"Passage: ""The big red dog ran to the park. He loved to play fetch with his owner, Sarah. Every day after school, they would run together and have fun...."" 

Question: What color is the dog?",Green,Blue,Brown,Red,D,Correct answer: Red.
1,Reading,Vocabulary,Easy,What does the word 'cat' mean?,fish,A small furry animal that meows,bird,dog,B,'cat' means: A small furry animal that meows.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'The star that gives us light and heat'?,moon,sun,rain,cloud,B,The word that means 'The star that gives us light and heat' is 'sun'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very run in class,' what does 'run' most likely mean?",To move quickly on foot,walk,sleep,eat,A,'run' means To move quickly on foot.
1,Reading,Vocabulary,Easy,What does the word 'big' mean?,small,short,Large in size,tiny,C,'big' means: Large in size.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'Feeling glad or pleased'?,sad,tired,happy,angry,C,The word that means 'Feeling glad or pleased' is 'happy'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very red in class,' what does 'red' most likely mean?",A bright color like a fire truck,blue,green,yellow,A,'red' means A bright color like a fire truck.
1,Reading,Vocabulary,Easy,What does the word 'hot' mean?,cold,Having a high temperature,cool,warm,B,'hot' means: Having a high temperature.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'To spring off the ground'?,jump,sit,stand,lie,A,The word that means 'To spring off the ground' is 'jump'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very book in class,' what does 'book' most likely mean?",Something you read with pages,pen,bag,cup,A,'book' means Something you read with pages.
1,Reading,Vocabulary,Easy,What does the word 'home' mean?,The place where you live,school,park,store,A,'home' means: The place where you live.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'A small furry animal that meows'?,fish,cat,bird,dog,B,The word that means 'A small furry animal that meows' is 'cat'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very sun in class,' what does 'sun' most likely mean?",The star that gives us light and heat,moon,cloud,rain,A,'sun' means The star that gives us light and heat.
1,Reading,Vocabulary,Easy,What does the word 'run' mean?,To move quickly on foot,sleep,eat,walk,A,'run' means: To move quickly on foot.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'Large in size'?,short,tiny,small,big,D,The word that means 'Large in size' is 'big'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very happy in class,' what does 'happy' most likely mean?",Feeling glad or pleased,sad,angry,tired,A,'happy' means Feeling glad or pleased.
1,Reading,Vocabulary,Easy,What does the word 'red' mean?,yellow,blue,A bright color like a fire truck,green,C,'red' means: A bright color like a fire truck.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'Having a high temperature'?,cold,warm,hot,cool,C,The word that means 'Having a high temperature' is 'hot'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very jump in class,' what does 'jump' most likely mean?",To spring off the ground,sit,lie,stand,A,'jump' means To spring off the ground.
1,Reading,Vocabulary,Easy,What does the word 'book' mean?,Something you read with pages,bag,cup,pen,A,'book' means: Something you read with pages.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'The place where you live'?,store,park,school,home,D,The word that means 'The place where you live' is 'home'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very cat in class,' what does 'cat' most likely mean?",A small furry animal that meows,dog,bird,fish,A,'cat' means A small furry animal that meows.
1,Reading,Vocabulary,Easy,What does the word 'sun' mean?,moon,rain,The star that gives us light and heat,cloud,C,'sun' means: The star that gives us light and heat.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'To move quickly on foot'?,run,sleep,eat,walk,A,The word that means 'To move quickly on foot' is 'run'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very big in class,' what does 'big' most likely mean?",Large in size,small,tiny,short,A,'big' means Large in size.
1,Reading,Vocabulary,Easy,What does the word 'happy' mean?,angry,tired,Feeling glad or pleased,sad,C,'happy' means: Feeling glad or pleased.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'A bright color like a fire truck'?,yellow,blue,green,red,D,The word that means 'A bright color like a fire truck' is 'red'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very hot in class,' what does 'hot' most likely mean?",Having a high temperature,cold,warm,cool,A,'hot' means Having a high temperature.
1,Reading,Vocabulary,Easy,What does the word 'jump' mean?,lie,sit,stand,To spring off the ground,D,'jump' means: To spring off the ground.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'Something you read with pages'?,bag,book,cup,pen,B,The word that means 'Something you read with pages' is 'book'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very home in class,' what does 'home' most likely mean?",The place where you live,school,park,store,A,'home' means The place where you live.
1,Reading,Vocabulary,Easy,What does the word 'cat' mean?,bird,dog,fish,A small furry animal that meows,D,'cat' means: A small furry animal that meows.
1,Reading,Vocabulary,Medium,Which word best fits this definition: 'The star that gives us light and heat'?,rain,moon,cloud,sun,D,The word that means 'The star that gives us light and heat' is 'sun'.
1,Reading,Vocabulary,Hard,"In the sentence 'The student was very run in class,' what does 'run' most likely mean?",To move quickly on foot,walk,sleep,eat,A,'run' means To move quickly on foot.
1,Reading,Sequencing,Easy,What is the main idea?,The last word,The longest paragraph,The most important point the author makes,The first sentence,C,Answer: The most important point the author makes.
1,Reading,Sequencing,Medium,Sequencing means,Counting words,Finding rhymes,Putting events in order,Naming characters,C,Answer: Putting events in order.
1,Reading,Sequencing,Hard,A character is,The title of a story,The setting of a story,The ending of a story,A person in a story,D,Answer: A person in a story.
1,Reading,Sequencing,Easy,The setting of a story is,Who is in the story,Why it happens,What happens,Where and when it takes place,D,Answer: Where and when it takes place.
1,Reading,Sequencing,Medium,'The sun smiled down' is an example of,Personification,A fact,A question,Rhyme,A,Answer: Personification.
1,Reading,Sequencing,Hard,What is the main idea?,The last word,The longest paragraph,The most important point the author makes,The first sentence,C,Answer: The most important point the author makes.
1,Reading,Sequencing,Easy,Sequencing means,Finding rhymes,Counting words,Putting events in order,Naming characters,C,Answer: Putting events in order.
1,Reading,Sequencing,Medium,A character is,The ending of a story,The setting of a story,The title of a story,A person in a story,D,Answer: A person in a story.
1,Reading,Sequencing,Hard,The setting of a story is,Why it happens,Where and when it takes place,Who is in the story,What happens,B,Answer: Where and when it takes place.
1,Reading,Sequencing,Easy,'The sun smiled down' is an example of,A fact,A question,Personification,Rhyme,C,Answer: Personification.
1,Reading,Sequencing,Medium,What is the main idea?,The first sentence,The most important point the author makes,The last word,The longest paragraph,B,Answer: The most important point the author makes.
1,Reading,Sequencing,Hard,Sequencing means,Putting events in order,Counting words,Finding rhymes,Naming characters,A,Answer: Putting events in order.
1,Reading,Sequencing,Easy,A character is,The setting of a story,The ending of a story,A person in a story,The title of a story,C,Answer: A person in a story.
1,Reading,Sequencing,Medium,The setting of a story is,What happens,Who is in the story,Why it happens,Where and when it takes place,D,Answer: Where and when it takes place.
1,Reading,Sequencing,Hard,'The sun smiled down' is an example of,A question,A fact,Rhyme,Personification,D,Answer: Personification.
1,Reading,Sequencing,Easy,What is the main idea?,The last word,The most important point the author makes,The first sentence,The longest paragraph,B,Answer: The most important point the author makes.
1,Reading,Sequencing,Medium,Sequencing means,Finding rhymes,Naming characters,Putting events in order,Counting words,C,Answer: Putting events in order.
1,Reading,Sequencing,Hard,A character is,The title of a story,The ending of a story,The setting of a story,A person in a story,D,Answer: A person in a story.
1,Reading,Sequencing,Easy,The setting of a story is,Who is in the story,Why it happens,What happens,Where and when it takes place,D,Answer: Where and when it takes place.
1,Reading,Sequencing,Medium,'The sun smiled down' is an example of,Personification,A question,A fact,Rhyme,A,Answer: Personification.
1,Reading,Sequencing,Hard,What is the main idea?,The last word,The first sentence,The most important point the author makes,The longest paragraph,C,Answer: The most important point the author makes.
1,Reading,Sequencing,Easy,Sequencing means,Putting events in order,Finding rhymes,Naming characters,Counting words,A,Answer: Putting events in order.
1,Reading,Sequencing,Medium,A character is,The setting of a story,A person in a story,The ending of a story,The title of a story,B,Answer: A person in a story.
1,Reading,Sequencing,Hard,The setting of a story is,Why it happens,Who is in the story,Where and when it takes place,What happens,C,Answer: Where and when it takes place.
1,Reading,Sequencing,Easy,'The sun smiled down' is an example of,A question,Personification,A fact,Rhyme,B,Answer: Personification.
1,Reading,Sequencing,Medium,What is the main idea?,The last word,The first sentence,The most important point the author makes,The longest paragraph,C,Answer: The most important point the author makes.
1,Reading,Sequencing,Hard,Sequencing means,Naming characters,Finding rhymes,Counting words,Putting events in order,D,Answer: Putting events in order.
1,Reading,Sequencing,Easy,A character is,The ending of a story,The title of a story,The setting of a story,A person in a story,D,Answer: A person in a story.
1,Reading,Sequencing,Medium,The setting of a story is,Where and when it takes place,What happens,Why it happens,Who is in the story,A,Answer: Where and when it takes place.
1,Reading,Sequencing,Hard,'The sun smiled down' is an example of,Personification,A fact,A question,Rhyme,A,Answer: Personification.
1,Reading,Sequencing,Easy,What is the main idea?,The last word,The first sentence,The most important point the author makes,The longest paragraph,C,Answer: The most important point the author makes.
1,Reading,Sequencing,Medium,Sequencing means,Finding rhymes,Counting words,Putting events in order,Naming characters,C,Answer: Putting events in order.
1,Reading,Sequencing,Hard,A character is,The title of a story,The setting of a story,The ending of a story,A person in a story,D,Answer: A person in a story.
1,Reading,Main Idea,Easy,What is the main idea?,The most important point the author makes,The first sentence,The last word,The longest paragraph,A,Answer: The most important point the author makes.
1,Reading,Main Idea,Medium,Sequencing means,Counting words,Putting events in order,Finding rhymes,Naming characters,B,Answer: Putting events in order.
1,Reading,Main Idea,Hard,A character is,A person in a story,The setting of a story,The title of a story,The ending of a story,A,Answer: A person in a story.
1,Reading,Main Idea,Easy,The setting of a story is,Why it happens,What happens,Who is in the story,Where and when it takes place,D,Answer: Where and when it takes place.
1,Reading,Main Idea,Medium,'The sun smiled down' is an example of,Rhyme,A question,Personification,A fact,C,Answer: Personification.
1,Reading,Main Idea,Hard,What is the main idea?,The first sentence,The longest paragraph,The most important point the author makes,The last word,C,Answer: The most important point the author makes.
1,Reading,Main Idea,Easy,Sequencing means,Naming characters,Counting words,Putting events in order,Finding rhymes,C,Answer: Putting events in order.
1,Reading,Main Idea,Medium,A character is,The ending of a story,The title of a story,A person in a story,The setting of a story,C,Answer: A person in a story.
1,Reading,Main Idea,Hard,The setting of a story is,Where and when it takes place,Why it happens,What happens,Who is in the story,A,Answer: Where and when it takes place.
1,Reading,Main Idea,Easy,'The sun smiled down' is an example of,Rhyme,Personification,A question,A fact,B,Answer: Personification.
1,Reading,Main Idea,Medium,What is the main idea?,The first sentence,The last word,The longest paragraph,The most important point the author makes,D,Answer: The most important point the author makes.
