level,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Math,Addition within 20,Hard,What is 1 + 2?,8,1,3,0,C,1 + 2 = 3. Count on from 1 by 2 more.
1,Math,Addition within 20,Easy,What is 1 + 9?,9,12,5,10,D,1 + 9 = 10. Count on from 1 by 9 more.
1,Math,Addition within 20,Medium,What is 1 + 4?,8,5,4,2,B,1 + 4 = 5. Count on from 1 by 4 more.
1,Math,Addition within 20,Hard,What is 3 + 8?,11,10,12,7,A,3 + 8 = 11. Count on from 3 by 8 more.
1,Math,Addition within 20,Easy,What is 10 + 6?,16,15,18,19,A,10 + 6 = 16. Count on from 10 by 6 more.
1,Math,Addition within 20,Medium,What is 3 + 6?,11,12,9,10,C,3 + 6 = 9. Count on from 3 by 6 more.
1,Math,Addition within 20,Hard,What is 4 + 6?,6,10,13,11,B,4 + 6 = 10. Count on from 4 by 6 more.
1,Math,Addition within 20,Easy,What is 2 + 2?,2,8,4,7,C,2 + 2 = 4. Count on from 2 by 2 more.
1,Math,Addition within 20,Medium,What is 2 + 7?,12,7,4,9,D,2 + 7 = 9. Count on from 2 by 7 more.
1,Math,Addition within 20,Hard,What is 9 + 7?,16,17,19,11,A,9 + 7 = 16. Count on from 9 by 7 more.
1,Math,Addition within 20,Easy,What is 3 + 1?,8,2,5,4,D,3 + 1 = 4. Count on from 3 by 1 more.
1,Math,Addition within 20,Medium,What is 1 + 6?,4,12,7,3,C,1 + 6 = 7. Count on from 1 by 6 more.
1,Math,Addition within 20,Hard,What is 9 + 4?,14,13,9,8,B,9 + 4 = 13. Count on from 9 by 4 more.
1,Math,Addition within 20,Easy,What is 9 + 3?,13,15,16,12,D,9 + 3 = 12. Count on from 9 by 3 more.
1,Math,Addition within 20,Medium,What is 9 + 4?,18,17,13,15,C,9 + 4 = 13. Count on from 9 by 4 more.
1,Math,Addition within 20,Hard,What is 7 + 3?,6,12,10,15,C,7 + 3 = 10. Count on from 7 by 3 more.
1,Math,Addition within 20,Easy,What is 10 + 1?,14,7,11,13,C,10 + 1 = 11. Count on from 10 by 1 more.
1,Math,Subtraction within 20,Easy,What is 10 − 2?,4,9,8,6,C,10 − 2 = 8. Start at 10 and count back 2.
1,Math,Subtraction within 20,Medium,What is 13 − 8?,8,5,1,3,B,13 − 8 = 5. Start at 13 and count back 8.
1,Math,Subtraction within 20,Hard,What is 7 − 2?,4,5,3,10,B,7 − 2 = 5. Start at 7 and count back 2.
1,Math,Subtraction within 20,Easy,What is 18 − 5?,13,14,10,18,A,18 − 5 = 13. Start at 18 and count back 5.
1,Math,Subtraction within 20,Medium,What is 8 − 7?,3,1,5,4,B,8 − 7 = 1. Start at 8 and count back 7.
1,Math,Subtraction within 20,Hard,What is 6 − 3?,0,3,7,1,B,6 − 3 = 3. Start at 6 and count back 3.
1,Math,Subtraction within 20,Easy,What is 4 − 2?,0,6,2,3,C,4 − 2 = 2. Start at 4 and count back 2.
1,Math,Subtraction within 20,Medium,What is 12 − 4?,8,12,3,11,A,12 − 4 = 8. Start at 12 and count back 4.
1,Math,Subtraction within 20,Hard,What is 19 − 9?,10,6,5,9,A,19 − 9 = 10. Start at 19 and count back 9.
1,Math,Subtraction within 20,Easy,What is 6 − 2?,4,7,3,6,A,6 − 2 = 4. Start at 6 and count back 2.
1,Math,Subtraction within 20,Medium,What is 15 − 9?,8,6,4,3,B,15 − 9 = 6. Start at 15 and count back 9.
1,Math,Subtraction within 20,Hard,What is 17 − 6?,8,12,6,11,D,17 − 6 = 11. Start at 17 and count back 6.
1,Math,Subtraction within 20,Easy,What is 8 − 7?,6,1,3,4,B,8 − 7 = 1. Start at 8 and count back 7.
1,Math,Subtraction within 20,Medium,What is 17 − 9?,8,6,7,11,A,17 − 9 = 8. Start at 17 and count back 9.
1,Math,Subtraction within 20,Hard,What is 17 − 7?,10,7,12,13,A,17 − 7 = 10. Start at 17 and count back 7.
1,Math,Subtraction within 20,Easy,What is 6 − 5?,5,4,2,1,D,6 − 5 = 1. Start at 6 and count back 5.
1,Math,Subtraction within 20,Medium,What is 14 − 6?,8,12,10,6,A,14 − 6 = 8. Start at 14 and count back 6.
1,Math,Subtraction within 20,Hard,What is 17 − 7?,8,9,10,15,C,17 − 7 = 10. Start at 17 and count back 7.
1,Math,Subtraction within 20,Easy,What is 7 − 1?,11,6,5,9,B,7 − 1 = 6. Start at 7 and count back 1.
1,Math,Subtraction within 20,Medium,What is 10 − 7?,5,3,1,0,B,10 − 7 = 3. Start at 10 and count back 7.
1,Math,Subtraction within 20,Hard,What is 11 − 4?,5,6,3,7,D,11 − 4 = 7. Start at 11 and count back 4.
1,Math,Subtraction within 20,Easy,What is 15 − 6?,10,12,9,14,C,15 − 6 = 9. Start at 15 and count back 6.
1,Math,Subtraction within 20,Medium,What is 12 − 3?,5,7,9,11,C,12 − 3 = 9. Start at 12 and count back 3.
1,Math,Subtraction within 20,Hard,What is 7 − 7?,4,2,3,0,D,7 − 7 = 0. Start at 7 and count back 7.
1,Math,Subtraction within 20,Easy,What is 12 − 8?,4,2,7,6,A,12 − 8 = 4. Start at 12 and count back 8.
1,Math,Subtraction within 20,Medium,What is 14 − 9?,4,5,6,0,B,14 − 9 = 5. Start at 14 and count back 9.
1,Math,Subtraction within 20,Hard,What is 4 − 3?,1,3,0,2,A,4 − 3 = 1. Start at 4 and count back 3.
1,Math,Subtraction within 20,Easy,What is 12 − 6?,6,4,3,10,A,12 − 6 = 6. Start at 12 and count back 6.
1,Math,Subtraction within 20,Medium,What is 19 − 2?,17,21,22,20,A,19 − 2 = 17. Start at 19 and count back 2.
1,Math,Subtraction within 20,Hard,What is 12 − 5?,12,4,7,3,C,12 − 5 = 7. Start at 12 and count back 5.
1,Math,Subtraction within 20,Easy,What is 12 − 4?,8,6,12,13,A,12 − 4 = 8. Start at 12 and count back 4.
1,Math,Subtraction within 20,Medium,What is 9 − 7?,6,4,0,2,D,9 − 7 = 2. Start at 9 and count back 7.
1,Math,Subtraction within 20,Hard,What is 6 − 3?,3,8,6,4,A,6 − 3 = 3. Start at 6 and count back 3.
1,Math,Subtraction within 20,Easy,What is 17 − 8?,7,9,10,8,B,17 − 8 = 9. Start at 17 and count back 8.
1,Math,Counting & Place Value,Easy,What number comes after 63?,69,64,60,68,B,The next number after 63 is 64.
1,Math,Counting & Place Value,Medium,What number comes after 19?,19,25,20,24,C,The next number after 19 is 20.
1,Math,Counting & Place Value,Hard,What number comes after 48?,45,52,49,50,C,The next number after 48 is 49.
1,Math,Counting & Place Value,Easy,What number comes after 83?,84,82,83,81,A,The next number after 83 is 84.
1,Math,Counting & Place Value,Medium,What number comes after 71?,75,73,71,72,D,The next number after 71 is 72.
1,Math,Counting & Place Value,Hard,What number comes after 52?,53,50,52,57,A,The next number after 52 is 53.
1,Math,Counting & Place Value,Easy,What number comes after 76?,73,79,74,77,D,The next number after 76 is 77.
1,Math,Counting & Place Value,Medium,What number comes after 53?,59,52,54,53,C,The next number after 53 is 54.
1,Math,Counting & Place Value,Hard,What number comes after 82?,83,87,82,85,A,The next number after 82 is 83.
1,Math,Counting & Place Value,Easy,What number comes after 26?,32,31,29,27,D,The next number after 26 is 27.
1,Math,Counting & Place Value,Medium,What number comes after 51?,56,49,52,48,C,The next number after 51 is 52.
1,Math,Counting & Place Value,Hard,What number comes after 74?,75,76,70,72,A,The next number after 74 is 75.
1,Math,Counting & Place Value,Easy,What number comes after 79?,80,78,79,75,A,The next number after 79 is 80.
1,Math,Counting & Place Value,Medium,What number comes after 51?,57,52,55,49,B,The next number after 51 is 52.
1,Math,Counting & Place Value,Hard,What number comes after 82?,80,85,83,82,C,The next number after 82 is 83.
1,Math,Counting & Place Value,Easy,What number comes after 66?,66,71,69,67,D,The next number after 66 is 67.
1,Math,Counting & Place Value,Medium,What number comes after 62?,60,68,58,63,D,The next number after 62 is 63.
1,Math,Counting & Place Value,Hard,What number comes after 89?,86,88,90,89,C,The next number after 89 is 90.
1,Math,Counting & Place Value,Easy,What number comes after 80?,82,79,81,86,C,The next number after 80 is 81.
1,Math,Counting & Place Value,Medium,What number comes after 43?,48,44,47,49,B,The next number after 43 is 44.
1,Math,Counting & Place Value,Hard,What number comes after 20?,19,17,24,21,D,The next number after 20 is 21.
1,Math,Counting & Place Value,Easy,What number comes after 77?,74,76,78,75,C,The next number after 77 is 78.
1,Math,Counting & Place Value,Medium,What number comes after 29?,28,25,35,30,D,The next number after 29 is 30.
1,Math,Counting & Place Value,Hard,What number comes after 21?,17,18,19,22,D,The next number after 21 is 22.
1,Math,Counting & Place Value,Easy,What number comes after 70?,72,74,71,75,C,The next number after 70 is 71.
1,Math,Counting & Place Value,Medium,What number comes after 12?,13,10,14,18,A,The next number after 12 is 13.
1,Math,Counting & Place Value,Hard,What number comes after 30?,34,28,33,31,D,The next number after 30 is 31.
1,Math,Counting & Place Value,Easy,What number comes after 48?,45,47,49,53,C,The next number after 48 is 49.
1,Math,Counting & Place Value,Medium,What number comes after 11?,14,17,9,12,D,The next number after 11 is 12.
1,Math,Counting & Place Value,Hard,What number comes after 23?,21,24,23,27,B,The next number after 23 is 24.
1,Math,Counting & Place Value,Easy,What number comes after 28?,29,25,24,32,A,The next number after 28 is 29.
1,Math,Counting & Place Value,Medium,What number comes after 72?,68,70,73,78,C,The next number after 72 is 73.
1,Math,Counting & Place Value,Hard,What number comes after 71?,67,68,72,71,C,The next number after 71 is 72.
1,Math,Basic Shapes,Easy,How many sides does a triangle have?,4,6,5,3,D,A triangle has 3 sides.
1,Math,Basic Shapes,Medium,How many sides does a square have?,5,6,3,4,D,A square has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a pentagon have?,6,3,5,4,C,A pentagon has 5 sides.
1,Math,Basic Shapes,Easy,How many sides does a hexagon have?,4,6,3,5,B,A hexagon has 6 sides.
1,Math,Basic Shapes,Medium,How many sides does a rectangle have?,4,6,3,5,A,A rectangle has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a circle have?,4,5,6,3,A,A circle has 0 (curved side) sides.
1,Math,Basic Shapes,Easy,How many sides does a triangle have?,6,4,3,5,C,A triangle has 3 sides.
1,Math,Basic Shapes,Medium,How many sides does a square have?,5,4,6,3,B,A square has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a pentagon have?,5,4,6,3,A,A pentagon has 5 sides.
1,Math,Basic Shapes,Easy,How many sides does a hexagon have?,4,6,5,3,B,A hexagon has 6 sides.
1,Math,Basic Shapes,Medium,How many sides does a rectangle have?,3,5,4,6,C,A rectangle has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a circle have?,5,6,4,3,C,A circle has 0 (curved side) sides.
1,Math,Basic Shapes,Easy,How many sides does a triangle have?,6,4,5,3,D,A triangle has 3 sides.
1,Math,Basic Shapes,Medium,How many sides does a square have?,4,3,5,6,A,A square has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a pentagon have?,6,5,4,3,B,A pentagon has 5 sides.
1,Math,Basic Shapes,Easy,How many sides does a hexagon have?,4,3,5,6,D,A hexagon has 6 sides.
1,Math,Basic Shapes,Medium,How many sides does a rectangle have?,3,4,5,6,B,A rectangle has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a circle have?,5,4,6,3,B,A circle has 0 (curved side) sides.
1,Math,Basic Shapes,Easy,How many sides does a triangle have?,6,5,3,4,C,A triangle has 3 sides.
1,Math,Basic Shapes,Medium,How many sides does a square have?,3,4,6,5,B,A square has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a pentagon have?,3,4,5,6,C,A pentagon has 5 sides.
1,Math,Basic Shapes,Easy,How many sides does a hexagon have?,3,4,5,6,D,A hexagon has 6 sides.
1,Math,Basic Shapes,Medium,How many sides does a rectangle have?,4,6,5,3,A,A rectangle has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a circle have?,3,5,6,4,D,A circle has 0 (curved side) sides.
1,Math,Basic Shapes,Easy,How many sides does a triangle have?,3,5,6,4,A,A triangle has 3 sides.
1,Math,Basic Shapes,Medium,How many sides does a square have?,3,5,4,6,C,A square has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a pentagon have?,6,5,4,3,B,A pentagon has 5 sides.
1,Math,Basic Shapes,Easy,How many sides does a hexagon have?,3,4,6,5,C,A hexagon has 6 sides.
1,Math,Basic Shapes,Medium,How many sides does a rectangle have?,6,4,3,5,B,A rectangle has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a circle have?,4,5,6,3,A,A circle has 0 (curved side) sides.
1,Math,Basic Shapes,Easy,How many sides does a triangle have?,5,6,4,3,D,A triangle has 3 sides.
1,Math,Basic Shapes,Medium,How many sides does a square have?,4,6,3,5,A,A square has 4 sides.
1,Math,Basic Shapes,Hard,How many sides does a pentagon have?,4,3,6,5,D,A pentagon has 5 sides.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 11 __ 19?,Less than (<),Equal to (=),Greater than (>),Cannot tell,A,11 < 19 because 11 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 11 __ 6?,Cannot tell,Equal to (=),Less than (<),Greater than (>),D,11 > 6 because 11 is more.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 7 __ 1?,Less than (<),Cannot tell,Greater than (>),Equal to (=),C,7 > 1 because 7 is more.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 4 __ 9?,Less than (<),Cannot tell,Equal to (=),Greater than (>),A,4 < 9 because 4 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 19 __ 15?,Equal to (=),Cannot tell,Greater than (>),Less than (<),C,19 > 15 because 19 is more.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 4 __ 6?,Cannot tell,Greater than (>),Less than (<),Equal to (=),C,4 < 6 because 4 is fewer.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 9 __ 14?,Equal to (=),Less than (<),Cannot tell,Greater than (>),B,9 < 14 because 9 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 14 __ 4?,Less than (<),Cannot tell,Greater than (>),Equal to (=),C,14 > 4 because 14 is more.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 5 __ 20?,Less than (<),Greater than (>),Cannot tell,Equal to (=),A,5 < 20 because 5 is fewer.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 4 __ 3?,Cannot tell,Greater than (>),Less than (<),Equal to (=),B,4 > 3 because 4 is more.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 7 __ 9?,Equal to (=),Cannot tell,Less than (<),Greater than (>),C,7 < 9 because 7 is fewer.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 18 __ 9?,Less than (<),Equal to (=),Cannot tell,Greater than (>),D,18 > 9 because 18 is more.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 4 __ 5?,Greater than (>),Cannot tell,Equal to (=),Less than (<),D,4 < 5 because 4 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 18 __ 14?,Greater than (>),Equal to (=),Less than (<),Cannot tell,A,18 > 14 because 18 is more.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 20 __ 12?,Cannot tell,Less than (<),Greater than (>),Equal to (=),C,20 > 12 because 20 is more.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 14 __ 4?,Greater than (>),Less than (<),Cannot tell,Equal to (=),A,14 > 4 because 14 is more.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 17 __ 18?,Greater than (>),Equal to (=),Cannot tell,Less than (<),D,17 < 18 because 17 is fewer.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 13 __ 19?,Cannot tell,Less than (<),Equal to (=),Greater than (>),B,13 < 19 because 13 is fewer.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 10 __ 18?,Cannot tell,Equal to (=),Greater than (>),Less than (<),D,10 < 18 because 10 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 12 __ 17?,Less than (<),Equal to (=),Greater than (>),Cannot tell,A,12 < 17 because 12 is fewer.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 13 __ 2?,Equal to (=),Greater than (>),Less than (<),Cannot tell,B,13 > 2 because 13 is more.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 2 __ 7?,Cannot tell,Equal to (=),Greater than (>),Less than (<),D,2 < 7 because 2 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 14 __ 7?,Cannot tell,Equal to (=),Less than (<),Greater than (>),D,14 > 7 because 14 is more.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 7 __ 8?,Greater than (>),Cannot tell,Less than (<),Equal to (=),C,7 < 8 because 7 is fewer.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 12 __ 20?,Greater than (>),Less than (<),Equal to (=),Cannot tell,B,12 < 20 because 12 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 6 __ 10?,Equal to (=),Greater than (>),Cannot tell,Less than (<),D,6 < 10 because 6 is fewer.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 13 __ 2?,Equal to (=),Cannot tell,Greater than (>),Less than (<),C,13 > 2 because 13 is more.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 15 __ 10?,Cannot tell,Greater than (>),Less than (<),Equal to (=),B,15 > 10 because 15 is more.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 18 __ 11?,Cannot tell,Equal to (=),Less than (<),Greater than (>),D,18 > 11 because 18 is more.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 6 __ 2?,Equal to (=),Cannot tell,Greater than (>),Less than (<),C,6 > 2 because 6 is more.
1,Math,Comparing Numbers,Easy,Which symbol correctly compares 12 __ 13?,Less than (<),Cannot tell,Equal to (=),Greater than (>),A,12 < 13 because 12 is fewer.
1,Math,Comparing Numbers,Medium,Which symbol correctly compares 4 __ 18?,Equal to (=),Cannot tell,Greater than (>),Less than (<),D,4 < 18 because 4 is fewer.
1,Math,Comparing Numbers,Hard,Which symbol correctly compares 10 __ 8?,Equal to (=),Less than (<),Greater than (>),Cannot tell,C,10 > 8 because 10 is more.
1,Math,Simple Word Problems,Easy,Sam has 4 apples and gets 7 more. How many apples does Sam have?,6,8,16,11,D,4 + 7 = 11 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 4 apples and gets 3 more. How many apples does Sam have?,3,6,9,7,D,4 + 3 = 7 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 1 apples and gets 3 more. How many apples does Sam have?,3,4,9,0,B,1 + 3 = 4 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 2 apples and gets 2 more. How many apples does Sam have?,4,6,8,1,A,2 + 2 = 4 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 8 apples and gets 3 more. How many apples does Sam have?,11,8,13,12,A,8 + 3 = 11 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 6 apples and gets 7 more. How many apples does Sam have?,11,18,17,13,D,6 + 7 = 13 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 7 apples and gets 5 more. How many apples does Sam have?,12,11,8,17,A,7 + 5 = 12 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 8 apples and gets 1 more. How many apples does Sam have?,13,7,11,9,D,8 + 1 = 9 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 3 apples and gets 3 more. How many apples does Sam have?,4,3,8,6,D,3 + 3 = 6 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 7 apples and gets 2 more. How many apples does Sam have?,13,14,9,6,C,7 + 2 = 9 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 4 apples and gets 1 more. How many apples does Sam have?,0,6,5,10,C,4 + 1 = 5 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 7 apples and gets 7 more. How many apples does Sam have?,16,15,14,9,C,7 + 7 = 14 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 4 apples and gets 6 more. How many apples does Sam have?,10,14,15,11,A,4 + 6 = 10 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 2 apples and gets 3 more. How many apples does Sam have?,10,6,2,5,D,2 + 3 = 5 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 4 apples and gets 7 more. How many apples does Sam have?,10,11,7,8,B,4 + 7 = 11 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 7 apples and gets 2 more. How many apples does Sam have?,4,9,6,7,B,7 + 2 = 9 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 7 apples and gets 6 more. How many apples does Sam have?,17,13,8,14,B,7 + 6 = 13 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 2 apples and gets 1 more. How many apples does Sam have?,3,5,6,0,A,2 + 1 = 3 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 6 apples and gets 6 more. How many apples does Sam have?,14,15,12,7,C,6 + 6 = 12 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 5 apples and gets 6 more. How many apples does Sam have?,8,9,7,11,D,5 + 6 = 11 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 8 apples and gets 2 more. How many apples does Sam have?,10,5,15,12,A,8 + 2 = 10 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 2 apples and gets 6 more. How many apples does Sam have?,7,8,9,11,B,2 + 6 = 8 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 4 apples and gets 2 more. How many apples does Sam have?,2,5,10,6,D,4 + 2 = 6 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 1 apples and gets 5 more. How many apples does Sam have?,1,4,6,2,C,1 + 5 = 6 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 5 apples and gets 6 more. How many apples does Sam have?,11,15,16,6,A,5 + 6 = 11 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 8 apples and gets 7 more. How many apples does Sam have?,19,17,15,20,C,8 + 7 = 15 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 5 apples and gets 7 more. How many apples does Sam have?,9,12,10,15,B,5 + 7 = 12 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 1 apples and gets 4 more. How many apples does Sam have?,10,5,2,0,B,1 + 4 = 5 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 3 apples and gets 2 more. How many apples does Sam have?,3,1,6,5,D,3 + 2 = 5 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 8 apples and gets 6 more. How many apples does Sam have?,15,19,14,12,C,8 + 6 = 14 apples in total.
1,Math,Simple Word Problems,Easy,Sam has 6 apples and gets 1 more. How many apples does Sam have?,5,11,3,7,D,6 + 1 = 7 apples in total.
1,Math,Simple Word Problems,Medium,Sam has 5 apples and gets 7 more. How many apples does Sam have?,17,7,16,12,D,5 + 7 = 12 apples in total.
1,Math,Simple Word Problems,Hard,Sam has 5 apples and gets 1 more. How many apples does Sam have?,11,1,2,6,D,5 + 1 = 6 apples in total.
2,Math,Addition within 100,Easy,What is 18 + 26?,44,46,41,45,A,18 + 26 = 44.
2,Math,Addition within 100,Medium,What is 41 + 33?,71,79,74,77,C,41 + 33 = 74.
2,Math,Addition within 100,Hard,What is 56 + 15?,73,71,66,75,B,56 + 15 = 71.
2,Math,Addition within 100,Easy,What is 20 + 23?,48,40,44,43,D,20 + 23 = 43.
2,Math,Addition within 100,Medium,What is 35 + 32?,63,62,65,67,D,35 + 32 = 67.
2,Math,Addition within 100,Hard,What is 50 + 33?,86,81,82,83,D,50 + 33 = 83.
2,Math,Addition within 100,Easy,What is 40 + 19?,64,60,56,59,D,40 + 19 = 59.
2,Math,Addition within 100,Medium,What is 45 + 28?,68,74,70,73,D,45 + 28 = 73.
2,Math,Addition within 100,Hard,What is 30 + 39?,70,73,69,67,C,30 + 39 = 69.
2,Math,Addition within 100,Easy,What is 56 + 18?,72,74,77,75,B,56 + 18 = 74.
2,Math,Addition within 100,Medium,What is 26 + 24?,54,50,47,45,B,26 + 24 = 50.
2,Math,Addition within 100,Hard,What is 55 + 22?,77,73,79,72,A,55 + 22 = 77.
2,Math,Addition within 100,Easy,What is 19 + 21?,41,35,40,38,C,19 + 21 = 40.
2,Math,Addition within 100,Medium,What is 12 + 28?,38,42,40,43,C,12 + 28 = 40.
2,Math,Addition within 100,Hard,What is 28 + 26?,51,53,54,50,C,28 + 26 = 54.
2,Math,Addition within 100,Easy,What is 69 + 34?,103,100,106,104,A,69 + 34 = 103.
2,Math,Addition within 100,Medium,What is 80 + 32?,111,112,115,107,B,80 + 32 = 112.
2,Math,Addition within 100,Hard,What is 42 + 21?,68,63,61,66,B,42 + 21 = 63.
2,Math,Addition within 100,Easy,What is 71 + 35?,102,106,107,103,B,71 + 35 = 106.
2,Math,Addition within 100,Medium,What is 79 + 8?,87,85,83,91,A,79 + 8 = 87.
2,Math,Addition within 100,Hard,What is 12 + 18?,28,27,30,33,C,12 + 18 = 30.
2,Math,Addition within 100,Easy,What is 48 + 35?,79,78,88,83,D,48 + 35 = 83.
2,Math,Addition within 100,Medium,What is 70 + 38?,109,103,108,110,C,70 + 38 = 108.
2,Math,Addition within 100,Hard,What is 34 + 10?,41,49,46,44,D,34 + 10 = 44.
2,Math,Addition within 100,Easy,What is 62 + 7?,69,68,66,67,A,62 + 7 = 69.
2,Math,Addition within 100,Medium,What is 34 + 31?,65,64,60,62,A,34 + 31 = 65.
2,Math,Addition within 100,Hard,What is 69 + 32?,101,98,105,99,A,69 + 32 = 101.
2,Math,Addition within 100,Easy,What is 23 + 30?,49,54,53,51,C,23 + 30 = 53.
2,Math,Addition within 100,Medium,What is 68 + 39?,110,107,106,108,B,68 + 39 = 107.
2,Math,Addition within 100,Hard,What is 49 + 33?,78,87,84,82,D,49 + 33 = 82.
